,Section,Code,Main_code,Sup_code,Sub_code,Description
0,A,01      ,01,  , ,"Растениеводство и животноводство, охота и предоставление соответствующих услуг в этих областях                                                                                                                                                                                                                                                                                                                                                                                                                      "
1,A,01.1    ,01,1 , ,Выращивание однолетних культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
2,A,01.11   ,01,11, ,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур                                                                                                                                                                                                                                                                                                                                                                                                                                   "
3,A,01.11.1 ,01,11,1,Выращивание зерновых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
4,A,01.11.11,01,11,1,Выращивание пшеницы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
5,A,01.11.12,01,11,1,Выращивание ячменя                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
6,A,01.11.13,01,11,1,Выращивание ржи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
7,A,01.11.14,01,11,1,Выращивание кукурузы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
8,A,01.11.15,01,11,1,Выращивание овса                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
9,A,01.11.16,01,11,1,Выращивание гречихи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10,A,01.11.19,01,11,1,Выращивание прочих зерновых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
11,A,01.11.2 ,01,11,2,Выращивание зернобобовых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12,A,01.11.3 ,01,11,3,Выращивание семян масличных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
13,A,01.11.31,01,11,3,Выращивание семян подсолнечника                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
14,A,01.11.32,01,11,3,Выращивание семян рапса                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
15,A,01.11.33,01,11,3,Выращивание семян соевых бобов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
16,A,01.11.39,01,11,3,Выращивание семян прочих масличных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
17,A,01.12   ,01,12, ,Выращивание риса                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
18,A,01.13   ,01,13, ,"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей                                                                                                                                                                                                                                                                                                                                                                                                                               "
19,A,01.13.1 ,01,13,1,Выращивание овощей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
