Section,Code,Main_code,Sup_code,Description
A,01.1 ,01,1 ,Выращивание однолетних культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;
A,01.11,01,11,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Выращивание зерновых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Выращивание пшеницы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Выращивание ячменя                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Выращивание ржи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Выращивание кукурузы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Выращивание овса                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Выращивание гречихи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Выращивание прочих зерновых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Выращивание зернобобовых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Выращивание семян масличных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Выращивание семян подсолнечника                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Выращивание семян рапса                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Выращивание семян соевых бобов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Выращивание семян прочих масличных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;"
A,01.12,01,12,Выращивание риса                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
A,01.13,01,13,"Выращивание овощей, бахчевых, корнеплодных и клубнеплодных культур, грибов и трюфелей                                                                                                                                                                                                                                                                                                                                                                                                                               ;Выращивание овощей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Выращивание овощей открытого грунта                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Выращивание овощей защищенного грунта                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Выращивание бахчевых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Выращивание столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина                                                                                                                                                                                                                                                                                                                                                                                                                ;Выращивание картофеля                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Выращивание прочих столовых корнеплодных и клубнеплодных культур с высоким содержанием крахмала или инулина                                                                                                                                                                                                                                                                                                                                                                                                         ;Выращивание семян овощных культур, за исключением семян сахарной свеклы                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Выращивание сахарной свеклы и семян сахарной свеклы                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Выращивание сахарной свеклы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;Выращивание семян сахарной свеклы                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Выращивание грибов и трюфелей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Выращивание овощей, не включенных в другие группировки                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;"
A,01.14,01,14,Выращивание сахарного тростника                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;
A,01.15,01,15,Выращивание табака и махорки                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
A,01.16,01,16,Выращивание волокнистых прядильных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Выращивание хлопчатника                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Выращивание льна                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Выращивание обыкновенной конопли                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Выращивание прочих текстильных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;
A,01.19,01,19,"Выращивание прочих однолетних культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Выращивание однолетних кормовых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Цветоводство                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Выращивание цветов в открытом и защищенном грунте                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Выращивание семян цветов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Выращивание семян свеклы (кроме семян сахарной свеклы) и семян кормовых культур                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Выращивание прочих однолетних культур, не включенных в другие группировки                                                                                                                                                                                                                                                                                                                                                                                                                                           ;"
A,01.2 ,01,2 ,Выращивание многолетних культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;
A,01.21,01,21,Выращивание винограда                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;
A,01.22,01,22,Выращивание тропических и субтропических культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;
A,01.23,01,23,Выращивание цитрусовых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;
A,01.24,01,24,Выращивание семечковых и косточковых культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;
A,01.25,01,25,"Выращивание прочих плодовых деревьев, кустарников и орехов                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Выращивание прочих плодовых и ягодных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Выращивание семян плодовых и ягодных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Выращивание орехоплодных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;"
A,01.26,01,26,Выращивание плодов масличных культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;
A,01.27,01,27,Выращивание культур для производства напитков                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Выращивание чая                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Выращивание прочих культур для производства напитков                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;
A,01.28,01,28,"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Выращивание пряностей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Выращивание хмеля                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;Выращивание растений, используемых в основном в парфюмерии, фармации или в качестве инсектицидов, фунгицидов и для аналогичных целей                                                                                                                                                                                                                                                                                                                                                                                ;"
A,01.29,01,29,Выращивание прочих многолетних культур                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;
A,01.3 ,01,3 ,Выращивание рассады                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;
A,01.30,01,30,Выращивание рассады                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;
A,01.4 ,01,4 ,Животноводство                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;
A,01.41,01,41,"Разведение молочного крупного рогатого скота, производство сырого молока                                                                                                                                                                                                                                                                                                                                                                                                                                            ;Разведение молочного крупного рогатого скота                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Разведение молочного крупного рогатого скота, кроме племенного                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Разведение племенного молочного крупного рогатого скота                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)                                                                                                                                                                                                                                                                                                                                                                                                         ;Производство сырого коровьего молока                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Производство сырого молока прочего крупного рогатого скота (буйволов, яков и др.)                                                                                                                                                                                                                                                                                                                                                                                                                                   ;"
A,01.42,01,42,"Разведение прочих пород крупного рогатого скота и буйволов, производство спермы                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др.                                                                                                                                                                                                                                                                                                                                                                                                                                  ;Разведение мясного и прочего крупного рогатого скота, включая буйволов, яков и др., на мясо                                                                                                                                                                                                                                                                                                                                                                                                                         ;Разведение племенного мясного и прочего крупного рогатого скота, включая буйволов, яков и др.                                                                                                                                                                                                                                                                                                                                                                                                                       ;Производство бычьей спермы, а также спермы буйволов, яков и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;"
A,01.43,01,43,"Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Разведение лошадей, ослов, мулов, лошаков                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;Производство сырого кобыльего молока                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;Производство спермы жеребцов и ослов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;"
A,01.44,01,44,Разведение верблюдов и прочих животных семейства верблюжьих                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;
