,Section,Description
0,A,"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
1,B,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
2,C,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
3,D,"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА                                                                                                                                                                                                                                                                                                                                                                                                                                        "
4,E,"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ                                                                                                                                                                                                                                                                                                                                                                                                        "
5,F,СТРОИТЕЛЬСТВО                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
6,G,ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ                                                                                                                                                                                                                                                                                                                                                                                                                                          
7,H,ТРАНСПОРТИРОВКА И ХРАНЕНИЕ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
8,I,ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ                                                                                                                                                                                                                                                                                                                                                                                                                                                           
9,J,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
10,K,ДЕЯТЕЛЬНОСТЬ ФИНАНСОВАЯ И СТРАХОВАЯ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
11,L,ДЕЯТЕЛЬНОСТЬ ПО ОПЕРАЦИЯМ С НЕДВИЖИМЫМ ИМУЩЕСТВОМ                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
12,M,"ДЕЯТЕЛЬНОСТЬ ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
13,N,ДЕЯТЕЛЬНОСТЬ АДМИНИСТРАТИВНАЯ И СОПУТСТВУЮЩИЕ ДОПОЛНИТЕЛЬНЫЕ УСЛУГИ                                                                                                                                                                                                                                                                                                                                                                                                                                                 
14,O,ГОСУДАРСТВЕННОЕ УПРАВЛЕНИЕ И ОБЕСПЕЧЕНИЕ ВОЕННОЙ БЕЗОПАСНОСТИ; СОЦИАЛЬНОЕ ОБЕСПЕЧЕНИЕ                                                                                                                                                                                                                                                                                                                                                                                                                               
15,P,ОБРАЗОВАНИЕ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
16,Q,ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ЗДРАВООХРАНЕНИЯ И СОЦИАЛЬНЫХ УСЛУГ                                                                                                                                                                                                                                                                                                                                                                                                                                                           
17,R,"ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ КУЛЬТУРЫ, СПОРТА, ОРГАНИЗАЦИИ ДОСУГА И РАЗВЛЕЧЕНИЙ                                                                                                                                                                                                                                                                                                                                                                                                                                           "
18,S,ПРЕДОСТАВЛЕНИЕ ПРОЧИХ ВИДОВ УСЛУГ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
19,T,ДЕЯТЕЛЬНОСТЬ ДОМАШНИХ ХОЗЯЙСТВ КАК РАБОТОДАТЕЛЕЙ; НЕДИФФЕРЕНЦИРОВАННАЯ ДЕЯТЕЛЬНОСТЬ ЧАСТНЫХ ДОМАШНИХ ХОЗЯЙСТВ ПО ПРОИЗВОДСТВУ ТОВАРОВ И ОКАЗАНИЮ УСЛУГ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ                                                                                                                                                                                                                                                                                                                                 
20,U,ДЕЯТЕЛЬНОСТЬ ЭКСТЕРРИТОРИАЛЬНЫХ ОРГАНИЗАЦИЙ И ОРГАНОВ                                                                                                                                                                                                                                                                                                                                                                                                                                                               
